V1,V2
18215,2.75 (0.854-9.07)
18216,2.75 (0.854-9.07)
18217,2.75 (0.854-9.07)
18218,2.75 (0.854-9.07)
18219,2.75 (0.854-9.07)
18220,2.75 (0.854-9.07)
18221,2.75 (0.854-9.07)
18222,2.75 (0.854-9.07)
18223,2.75 (0.854-9.07)
18224,2.75 (0.854-9.07)
18225,2.75 (0.854-9.07)
18226,2.75 (0.854-9.07)
18227,2.75 (0.854-9.07)
18228,2.75 (0.854-9.07)
18229,2.75 (0.854-9.07)
18230,2.75 (0.854-9.07)
18231,2.75 (0.854-9.07)
18232,2.75 (0.854-9.07)
18233,2.75 (0.854-9.07)
18234,2.75 (0.854-9.07)
18235,2.75 (0.854-9.07)
18236,2.75 (0.854-9.07)
18237,2.75 (0.854-9.07)
18238,2.75 (0.854-9.07)
18239,2.75 (0.854-9.07)
18240,2.75 (0.854-9.07)
18241,2.75 (0.854-9.07)
18242,2.75 (0.854-9.07)
18243,2.75 (0.854-9.07)
18244,2.75 (0.854-9.07)
18245,2.75 (0.854-9.07)
18246,2.75 (0.854-9.07)
18247,2.75 (0.854-9.07)
18248,2.75 (0.854-9.07)
18249,2.75 (0.854-9.07)
18250,2.75 (0.854-9.07)
18251,2.75 (0.854-9.07)
18252,2.75 (0.854-9.07)
18253,2.75 (0.854-9.07)
18254,2.75 (0.854-9.07)
18255,2.75 (0.854-9.07)
18256,2.75 (0.854-9.07)
18257,2.75 (0.854-9.07)
18258,2.75 (0.854-9.07)
18259,2.75 (0.854-9.07)
18260,2.75 (0.854-9.07)
18261,2.75 (0.854-9.07)
18262,2.75 (0.854-9.07)
18263,2.75 (0.854-9.07)
18264,2.75 (0.854-9.07)
18265,2.75 (0.854-9.07)
18266,2.75 (0.854-9.07)
18267,2.75 (0.854-9.07)
18268,2.75 (0.854-9.07)
18269,2.75 (0.854-9.07)
18270,2.75 (0.854-9.07)
18271,2.75 (0.854-9.07)
18272,2.75 (0.854-9.07)
18273,2.75 (0.854-9.07)
18274,2.75 (0.854-9.07)
18275,2.75 (0.854-9.07)
18276,2.75 (0.854-9.07)
18277,2.75 (0.854-9.07)
18278,2.75 (0.854-9.07)
18279,2.75 (0.854-9.07)
18280,2.75 (0.854-9.07)
18281,2.75 (0.854-9.07)
18282,2.75 (0.854-9.07)
18283,2.75 (0.854-9.07)
18284,2.75 (0.854-9.07)
18285,2.75 (0.854-9.07)
18286,2.75 (0.854-9.07)
18287,2.75 (0.854-9.07)
18288,2.75 (0.854-9.07)
18289,2.75 (0.854-9.07)
18290,2.75 (0.854-9.07)
